step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
1,,,,,0.0013659873511642218,0.339257150888443,0.009164422750473022,0.009164422750473022,,,,
2,,,,,0.0010218501556664705,0.23697318136692047,0.006435255520045757,0.006435255520045757,,,,
3,,,,,0.0008662740001454949,0.18848112225532532,0.005145165603607893,0.005145165603607893,,,,
4,,,,,0.000794477469753474,0.16758829355239868,0.004586946219205856,0.004586946219205856,,,,
5,,,,,0.0007363719050772488,0.15269726514816284,0.0041856179013848305,0.0041856179013848305,,,,
6,,,,,0.0006682308739982545,0.1436309814453125,0.0039248899556696415,0.0039248899556696415,,,,
7,,,,,0.0006347304442897439,0.13516944646835327,0.0036966009065508842,0.0036966009065508842,,,,
8,,,,,0.0005685650976374745,0.12159566581249237,0.003324174089357257,0.003324174089357257,,,,
9,,,,,0.0005556072574108839,0.1186743974685669,0.0032446638215333223,0.0032446638215333223,,,,
10,0.0019995211623609066,0.2112126648426056,0.006280077621340752,0.006280077621340752,0.0005055095534771681,0.10784129053354263,0.0029487870633602142,0.0029487870633602142,32.01491655139418,37.727272727272734,16.43296164584426,6.880321755623206
11,,,,,0.0004690699861384928,0.1022377535700798,0.0027904792223125696,0.0027904792223125696,,,,
12,,,,,0.00047642042045481503,0.10424701869487762,0.002844385802745819,0.002844385802745819,,,,
13,,,,,0.00045605291961692274,0.10169210284948349,0.0027703293599188328,0.0027703293599188328,,,,
14,,,,,0.00042842660332098603,0.0934542641043663,0.0025505698285996914,0.0025505698285996914,,,,
15,,,,,0.0004183358687441796,0.09347022324800491,0.0025459236931055784,0.0025459236931055784,,,,
16,,,,,0.00038614796358160675,0.08602370321750641,0.0023436665069311857,0.0023436665069311857,,,,
17,,,,,0.0003776999074034393,0.08398156613111496,0.0022883890196681023,0.0022883890196681023,,,,
18,,,,,0.00036587269278243184,0.0835709422826767,0.0022722098510712385,0.0022722098510712385,,,,
19,,,,,0.0003627114347182214,0.0833270251750946,0.0022645313292741776,0.0022645313292741776,,,,
20,0.0017262407345697284,0.19791311025619507,0.005810947623103857,0.005810947623103857,0.00035627122269943357,0.0840272605419159,0.002278817119076848,0.002278817119076848,38.62980284716656,43.18181818181818,8.6531541855163,6.225840769517116
21,,,,,0.0003371919447090477,0.07544346898794174,0.002054682932794094,0.002054682932794094,,,,
22,,,,,0.0003398797125555575,0.07570061087608337,0.0020624548196792603,0.0020624548196792603,,,,
23,,,,,0.0003390340425539762,0.07479299604892731,0.002039342187345028,0.002039342187345028,,,,
24,,,,,0.0003149815311189741,0.07011186331510544,0.0019102876540273428,0.0019102876540273428,,,,
25,,,,,0.00031133778975345194,0.06966949999332428,0.0018974064150825143,0.0018974064150825143,,,,
26,,,,,0.0003081591275986284,0.07153590023517609,0.0019424770725890994,0.0019424770725890994,,,,
27,,,,,0.0003055923734791577,0.06915510445833206,0.0018816736992448568,0.0018816736992448568,,,,
28,,,,,0.0003033348184544593,0.0686180517077446,0.0018671186408028007,0.0018671186408028007,,,,
29,,,,,0.0002881920663639903,0.0668683871626854,0.0018158055609092116,0.0018158055609092116,,,,
30,0.0016428000526502728,0.1649777740240097,0.004945844877511263,0.004945844877511263,0.00026373492437414825,0.05984420329332352,0.0016279725823551416,0.0016279725823551416,48.05746884212231,51.13636363636363,8.917389556683682,3.740802600728096
31,,,,,0.000275640981271863,0.06543713808059692,0.0017737490125000477,0.0017737490125000477,,,,
32,,,,,0.0002675383584573865,0.06511103361845016,0.0017615450778976083,0.0017615450778976083,,,,
33,,,,,0.00026938747032545507,0.06272029131650925,0.0017027013236656785,0.0017027013236656785,,,,
34,,,,,0.0002574381069280207,0.05731870234012604,0.0015616866294294596,0.0015616866294294596,,,,
35,,,,,0.00024728779681026936,0.057738155126571655,0.0015670977300032973,0.0015670977300032973,,,,
36,,,,,0.00026055966736748815,0.062035705894231796,0.0016811726382002234,0.0016811726382002234,,,,
37,,,,,0.0002570311480667442,0.06178044155240059,0.0016730267088860273,0.0016730267088860273,,,,
38,,,,,0.00024317746283486485,0.057450372725725174,0.0015578481834381819,0.0015578481834381819,,,,
39,,,,,0.00024299869255628437,0.05860356613993645,0.0015865886816754937,0.0015865886816754937,,,,
40,0.001809310051612556,0.17695480585098267,0.005328525323420763,0.005328525323420763,0.0002438869560137391,0.055475495755672455,0.00150883081369102,0.00150883081369102,49.50808925849805,52.04545454545454,19.638387440649453,3.8200189078967255
41,,,,,0.00024609718821011484,0.05864918977022171,0.001589278457686305,0.001589278457686305,,,,
42,,,,,0.00021563498012255877,0.0498516745865345,0.0013541096122935414,0.0013541096122935414,,,,
43,,,,,0.0002386250125709921,0.05540589988231659,0.001504459884017706,0.001504459884017706,,,,
44,,,,,0.00023561045236419886,0.056221939623355865,0.001523353741504252,0.001523353741504252,,,,
45,,,,,0.0002188924845540896,0.051595933735370636,0.0013993446482345462,0.0013993446482345462,,,,
46,,,,,0.00020759312610607594,0.048490334302186966,0.001316055073402822,0.001316055073402822,,,,
47,,,,,0.00022950336278881878,0.05289912596344948,0.0014372298028320074,0.0014372298028320074,,,,
48,,,,,0.0002057515666820109,0.04947672411799431,0.0013397939037531614,0.0013397939037531614,,,,
49,,,,,0.0002253171696793288,0.05349932983517647,0.00145014189183712,0.00145014189183712,,,,
50,0.0014039203524589539,0.13970153033733368,0.004194498527795076,0.004194498527795076,0.00020739749015774578,0.04916302114725113,0.0013327744090929627,0.0013327744090929627,46.92941399403098,50.68181818181819,6.596577071741725,4.386930722329351
51,,,,,0.00020977840176783502,0.049535371363162994,0.0013432735577225685,0.0013432735577225685,,,,
52,,,,,0.00022238143719732761,0.051628563553094864,0.001401904970407486,0.001401904970407486,,,,
53,,,,,0.00021438402472995222,0.05271194875240326,0.001424990827217698,0.001424990827217698,,,,
54,,,,,0.00020058923109900206,0.04678775742650032,0.0012699887156486511,0.0012699887156486511,,,,
55,,,,,0.0001938874484039843,0.04457591846585274,0.0012113414704799652,0.0012113414704799652,,,,
56,,,,,0.00019691488705575466,0.04700832441449165,0.0012736656935885549,0.0012736656935885549,,,,
57,,,,,0.0002065284497803077,0.04992484673857689,0.0013513853773474693,0.0013513853773474693,,,,
58,,,,,0.00020618585404008627,0.04797418788075447,0.001302447635680437,0.001302447635680437,,,,
59,,,,,0.00020053070329595357,0.04559880122542381,0.0012402355205267668,0.0012402355205267668,,,,
60,0.0015388625906780362,0.15739183127880096,0.004704227205365896,0.004704227205365896,0.00019263577996753156,0.04513470083475113,0.0012246854603290558,0.0012246854603290558,46.71262914334912,51.590909090909086,8.07424416662169,3.965659751381193
61,,,,,0.00020735424186568707,0.050189610570669174,0.0013584175612777472,0.0013584175612777472,,,,
62,,,,,0.00018175483273807913,0.04261809587478638,0.0011563297593966126,0.0011563297593966126,,,,
63,,,,,0.00018304967670701444,0.043285269290208817,0.0011736566666513681,0.0011736566666513681,,,,
64,,,,,0.00018601177725940943,0.044079143553972244,0.00119498441927135,0.00119498441927135,,,,
65,,,,,0.00018880284915212542,0.04536456987261772,0.001228515524417162,0.001228515524417162,,,,
66,,,,,0.0001786189095582813,0.04349051043391228,0.00117657205555588,0.00117657205555588,,,,
67,,,,,0.0001896815956570208,0.04491278529167175,0.0012176604941487312,0.0012176604941487312,,,,
68,,,,,0.00018447157344780862,0.042954087257385254,0.00116608792450279,0.00116608792450279,,,,
69,,,,,0.00016726399189792573,0.04132944345474243,0.001116868108510971,0.001116868108510971,,,,
70,0.0017105665756389499,0.17975234985351562,0.005349092185497284,0.005349092185497284,0.00018609971448313445,0.04450090974569321,0.0012055726256221533,0.0012055726256221533,48.12197980460338,50.45454545454545,17.32259982052552,3.8794670359176746
71,,,,,0.00018427838222123682,0.04596762731671333,0.00124132982455194,0.00124132982455194,,,,
72,,,,,0.00017009854491334409,0.040510766208171844,0.0010978183709084988,0.0010978183709084988,,,,
73,,,,,0.00016925450472626835,0.04015553742647171,0.0010885156225413084,0.0010885156225413084,,,,
74,,,,,0.0001878554030554369,0.04560555890202522,0.0012340666726231575,0.0012340666726231575,,,,
75,,,,,0.00017616816330701113,0.04235713556408882,0.0011470125755295157,0.0011470125755295157,,,,
76,,,,,0.00016681832494214177,0.04000173881649971,0.0010834526037797332,0.0010834526037797332,,,,
77,,,,,0.00017032436153385788,0.04083631932735443,0.0011060702381655574,0.0011060702381655574,,,,
78,,,,,0.00017375075549352914,0.04078672453761101,0.0011065434664487839,0.0011065434664487839,,,,
79,,,,,0.00017282993940170854,0.03932833671569824,0.001069623394869268,0.001069623394869268,,,,
80,0.0013667449820786715,0.1492713987827301,0.004415156785398722,0.004415156785398722,0.00016936188330873847,0.039060745388269424,0.0010611994657665491,0.0010611994657665491,46.0146423628538,48.863636363636374,6.102462136287814,3.945951516570693
81,,,,,0.00016222571139223874,0.03778837248682976,0.0010258221300318837,0.0010258221300318837,,,,
82,,,,,0.000170129889738746,0.04060778766870499,0.0011002594837918878,0.0011002594837918878,,,,
83,,,,,0.00015961413737386465,0.03845703974366188,0.0010412330739200115,0.0010412330739200115,,,,
84,,,,,0.00015851003990974277,0.038155388087034225,0.0010331396479159594,0.0010331396479159594,,,,
85,,,,,0.00015336334763560444,0.03639574721455574,0.0009865753818303347,0.0009865753818303347,,,,
86,,,,,0.00016987988783512264,0.0393107570707798,0.001067708944901824,0.001067708944901824,,,,
87,,,,,0.00017274143465328962,0.03922288492321968,0.001066942815668881,0.001066942815668881,,,,
88,,,,,0.0001707944757072255,0.04083563759922981,0.0011062881676480174,0.0011062881676480174,,,,
89,,,,,0.00016133942699525505,0.03706922009587288,0.001007400220260024,0.001007400220260024,,,,
