Frame,Nose_x,Nose_y,Nose_likelihood,Left_Ear_x,Left_Ear_y,Left_Ear_likelihood,Right_Ear_x,Right_Ear_y,Right_Ear_likelihood,Body_Center_x,Body_Center_y,Body_Center_likelihood,Left_Body_x,Left_Body_y,Left_Body_likelihood,Right_Body_x,Right_Body_y,Right_Body_likelihood,Tail_Base_x,Tail_Base_y,Tail_Base_likelihood,Head_Center_x,Head_Center_y
31,115.96,149.61,0.25,117.16,161.68,0.26,114.43,165.61,0.32,114.85,156.62,0.13,118.96,160.02,0.09,123.68,163.28,0.09,118.44,144.59,0.25,115.85,158.97
32,115.97,149.6,0.25,117.15,161.65,0.26,114.41,165.61,0.32,114.82,156.59,0.13,118.92,160.0,0.08,123.68,163.28,0.09,118.45,144.6,0.25,115.84,158.95
33,115.96,149.6,0.25,117.11,161.63,0.27,114.39,165.58,0.33,114.8,156.64,0.13,118.86,160.0,0.09,123.63,163.21,0.09,118.42,144.61,0.25,115.82,158.94
34,115.96,149.58,0.26,117.08,161.61,0.27,114.38,165.6,0.33,114.79,156.68,0.13,118.81,160.01,0.09,123.6,163.18,0.1,118.42,144.61,0.25,115.81,158.93
35,115.98,149.55,0.26,119.31,165.87,0.27,114.48,165.46,0.33,114.77,156.67,0.12,118.82,160.08,0.08,123.71,163.34,0.09,118.4,144.67,0.25,116.59,160.29
36,116.0,149.61,0.26,119.26,165.73,0.28,114.58,165.3,0.33,114.73,156.5,0.12,118.83,160.13,0.08,123.76,163.48,0.09,118.41,144.75,0.24,116.61,160.22
37,116.02,149.78,0.26,119.21,165.55,0.29,114.7,165.05,0.33,114.71,156.33,0.12,117.69,155.22,0.08,123.83,163.76,0.08,118.38,144.79,0.24,116.65,160.12
38,116.08,149.83,0.26,119.22,165.34,0.29,114.79,164.85,0.33,114.62,156.12,0.12,117.59,155.05,0.08,123.74,163.8,0.08,118.43,144.79,0.24,116.69,160.01
39,116.21,150.41,0.25,119.35,165.24,0.28,114.78,164.8,0.34,114.57,155.64,0.12,117.75,154.76,0.08,123.43,163.7,0.06,118.49,144.84,0.23,116.78,160.15
40,116.27,150.35,0.25,119.46,165.15,0.27,114.95,164.74,0.32,114.58,155.6,0.12,117.63,154.75,0.08,123.58,163.79,0.06,118.56,144.84,0.23,116.89,160.08
41,116.34,150.34,0.24,119.54,165.13,0.27,115.02,164.82,0.32,114.6,155.6,0.12,117.61,154.78,0.08,123.63,163.79,0.06,118.63,144.83,0.23,116.97,160.1
