Frame,Nose_x,Nose_y,Nose_likelihood,Left_Ear_x,Left_Ear_y,Left_Ear_likelihood,Right_Ear_x,Right_Ear_y,Right_Ear_likelihood,Body_Center_x,Body_Center_y,Body_Center_likelihood,Left_Body_x,Left_Body_y,Left_Body_likelihood,Right_Body_x,Right_Body_y,Right_Body_likelihood,Tail_Base_x,Tail_Base_y,Tail_Base_likelihood,Head_Center_x,Head_Center_y
135,126.33,167.82,0.21,122.1,162.73,0.39,121.93,165.12,0.39,120.94,160.19,0.14,121.54,156.12,0.13,110.89,156.42,0.13,118.86,146.57,0.23,123.45,165.22
136,127.34,168.2,0.23,122.71,163.14,0.44,122.42,165.7,0.44,121.13,160.39,0.17,122.03,156.1,0.16,110.79,156.79,0.17,118.87,146.65,0.25,124.16,165.68
137,128.15,171.75,0.24,123.1,163.29,0.47,122.86,166.1,0.47,118.19,158.66,0.19,122.42,156.09,0.18,110.65,157.16,0.19,117.92,148.15,0.27,124.7,167.05
138,128.26,171.87,0.23,123.19,163.36,0.44,123.05,165.86,0.45,122.28,160.72,0.17,122.42,155.93,0.16,110.82,156.93,0.17,118.18,148.49,0.24,124.83,167.03
139,128.56,172.56,0.23,123.26,163.64,0.44,123.57,166.26,0.43,122.27,161.13,0.19,122.64,156.47,0.18,110.8,157.4,0.19,117.86,150.33,0.26,125.13,167.49
140,128.67,173.01,0.22,123.15,163.77,0.44,123.88,166.58,0.42,121.23,161.85,0.21,122.61,156.99,0.19,121.33,162.3,0.2,117.72,150.03,0.29,125.24,167.79
141,128.7,173.61,0.21,122.98,163.84,0.41,124.01,166.52,0.4,121.38,162.05,0.2,122.68,157.21,0.18,114.89,158.89,0.18,117.6,150.14,0.28,125.23,167.99
142,128.62,174.14,0.2,123.01,163.98,0.38,124.05,166.79,0.37,121.44,162.11,0.2,122.82,157.42,0.18,114.87,158.95,0.18,117.55,150.03,0.28,125.23,168.31
143,118.88,152.89,0.17,122.25,163.39,0.3,123.36,163.28,0.29,121.81,162.45,0.15,122.47,157.85,0.13,122.75,163.06,0.1,117.5,150.55,0.23,121.5,159.85
144,118.56,152.05,0.17,121.75,163.13,0.24,124.31,166.28,0.25,122.13,162.64,0.12,123.48,162.14,0.09,125.04,164.19,0.09,117.57,150.9,0.19,121.54,160.49
145,118.64,152.21,0.17,121.9,163.22,0.25,124.37,166.35,0.25,122.22,162.57,0.13,123.73,162.04,0.1,125.04,164.26,0.09,117.63,150.81,0.19,121.64,160.59
146,119.51,151.05,0.17,122.56,163.89,0.32,124.43,166.62,0.31,122.02,162.56,0.17,122.82,157.88,0.14,115.55,159.36,0.12,117.55,150.83,0.25,122.17,160.52
147,129.1,174.7,0.2,123.75,164.8,0.39,124.9,167.48,0.39,122.2,162.6,0.21,125.08,161.38,0.18,115.24,159.43,0.18,117.64,150.52,0.3,125.92,168.99
148,129.58,174.74,0.23,124.44,165.2,0.44,125.17,167.85,0.43,123.01,162.06,0.23,125.59,161.04,0.2,121.71,162.78,0.22,117.88,150.34,0.32,126.4,169.27
149,129.9,174.57,0.25,124.73,165.27,0.47,125.27,168.06,0.45,122.85,161.98,0.24,125.72,160.88,0.21,121.45,162.78,0.25,117.98,150.23,0.32,126.63,169.3
150,130.55,174.44,0.29,125.66,165.61,0.52,125.41,168.65,0.5,122.59,161.59,0.27,126.34,160.16,0.24,120.62,162.58,0.29,118.22,150.1,0.34,127.21,169.57
151,130.8,173.82,0.3,125.68,165.67,0.53,125.47,168.52,0.49,122.77,161.64,0.26,124.35,156.26,0.24,121.01,162.61,0.28,118.17,150.7,0.3,127.32,169.34
152,132.47,173.5,0.32,127.32,166.75,0.5,127.4,169.54,0.48,123.31,162.73,0.29,124.83,156.17,0.27,121.36,164.12,0.3,118.01,152.16,0.3,129.06,169.93
153,134.02,174.4,0.39,131.2,166.54,0.46,129.99,171.03,0.44,121.0,163.88,0.28,124.95,156.38,0.25,121.73,166.31,0.27,118.72,156.02,0.2,131.74,170.66
154,137.01,173.24,0.46,131.49,167.84,0.49,132.67,171.75,0.42,124.14,167.71,0.3,125.81,163.17,0.29,122.63,170.05,0.25,120.38,160.68,0.2,133.73,170.94
155,141.88,170.82,0.46,134.11,167.89,0.48,135.94,173.41,0.41,128.53,170.13,0.23,128.43,168.03,0.28,126.82,169.85,0.19,121.18,163.28,0.17,137.31,170.71
156,147.47,171.06,0.57,136.66,169.7,0.46,141.29,174.74,0.47,133.11,173.02,0.36,131.68,171.58,0.37,132.95,174.83,0.32,134.44,176.68,0.15,141.81,171.83
157,150.76,171.34,0.53,139.74,170.73,0.35,147.4,174.57,0.3,138.86,174.65,0.29,136.99,173.38,0.28,139.48,174.97,0.26,138.54,176.85,0.17,145.97,172.21
158,152.41,170.76,0.46,141.65,170.44,0.39,148.85,173.73,0.31,141.21,174.47,0.3,140.07,171.42,0.31,141.63,176.12,0.28,138.23,176.41,0.15,147.64,171.64
159,157.38,171.01,0.32,141.63,170.58,0.43,147.81,170.38,0.28,145.68,174.4,0.31,143.61,173.88,0.32,145.94,174.62,0.23,139.88,175.6,0.12,148.94,170.66
160,159.25,170.47,0.4,147.51,170.33,0.45,154.11,173.44,0.34,146.65,174.42,0.33,144.72,173.03,0.35,146.34,175.07,0.24,150.23,175.33,0.14,153.62,171.41
161,163.05,170.62,0.46,149.86,169.99,0.46,155.71,173.48,0.37,148.0,174.28,0.33,146.12,172.2,0.34,147.12,175.37,0.24,150.05,174.6,0.16,156.21,171.36
162,163.64,170.54,0.45,150.79,170.16,0.41,156.93,173.04,0.31,150.21,174.56,0.3,147.76,172.51,0.3,149.14,175.4,0.2,150.42,174.64,0.16,157.12,171.25
163,164.53,170.77,0.44,150.91,170.82,0.4,159.33,174.35,0.33,151.37,175.19,0.33,148.98,173.37,0.32,153.99,174.81,0.25,150.65,175.06,0.19,158.26,171.98
164,165.06,170.99,0.4,152.21,171.21,0.34,160.04,174.31,0.3,152.8,175.55,0.27,150.26,173.57,0.26,155.69,175.89,0.24,150.34,175.67,0.17,159.1,172.17
165,165.96,171.68,0.35,151.56,172.04,0.29,160.31,174.65,0.26,155.73,175.33,0.24,151.12,174.45,0.21,156.63,175.52,0.22,151.3,175.96,0.16,159.28,172.79
166,166.72,172.1,0.32,156.4,172.32,0.26,160.63,175.23,0.24,156.26,175.39,0.25,153.73,176.01,0.2,156.96,175.8,0.23,147.59,177.36,0.17,161.25,173.22
167,167.15,172.19,0.33,156.87,172.58,0.27,163.76,175.77,0.26,157.01,175.74,0.24,154.25,176.06,0.19,157.83,176.19,0.22,148.39,177.29,0.17,162.59,173.51
168,167.51,172.12,0.28,157.79,172.55,0.23,164.29,175.47,0.23,158.07,175.69,0.2,155.42,175.61,0.17,158.74,176.48,0.17,149.27,176.99,0.16,163.2,173.38
169,167.54,172.17,0.24,152.98,172.91,0.21,164.33,175.17,0.19,159.43,175.71,0.18,156.17,175.82,0.16,160.21,176.21,0.16,219.17,25.66,0.13,161.62,173.42
170,168.51,172.15,0.22,158.22,172.3,0.21,165.11,174.91,0.18,160.52,175.28,0.19,157.2,175.45,0.16,161.16,175.86,0.17,150.66,176.9,0.12,163.95,173.12
171,169.05,171.8,0.29,159.16,171.75,0.26,165.54,174.73,0.26,160.47,175.41,0.19,157.38,174.43,0.17,160.91,176.75,0.17,150.6,176.7,0.14,164.58,172.76
172,169.0,171.69,0.32,159.06,171.77,0.28,165.33,174.65,0.27,160.51,175.45,0.21,157.47,174.43,0.18,161.06,176.78,0.19,150.61,176.73,0.14,164.47,172.71
173,168.89,171.51,0.35,159.12,171.49,0.31,165.02,174.38,0.3,160.23,175.38,0.21,157.34,174.0,0.19,160.69,176.91,0.19,150.51,176.65,0.16,164.34,172.46
174,168.85,171.44,0.34,159.02,171.46,0.3,164.98,174.31,0.29,160.23,175.42,0.21,157.29,174.09,0.19,160.74,176.92,0.2,150.54,176.58,0.16,164.29,172.4
175,168.87,171.31,0.35,159.13,171.31,0.32,164.94,174.28,0.3,160.02,175.4,0.21,157.09,173.87,0.19,160.58,176.97,0.19,150.64,176.52,0.16,164.31,172.3
176,168.56,171.08,0.37,158.84,171.2,0.33,164.5,174.19,0.31,159.72,175.62,0.21,156.7,173.92,0.19,160.5,177.18,0.19,150.84,176.45,0.16,163.97,172.16
177,168.38,170.8,0.36,155.21,171.58,0.36,164.2,173.85,0.31,159.38,175.69,0.23,156.44,173.69,0.2,160.22,177.34,0.19,150.88,176.16,0.15,162.6,172.08
178,168.47,170.53,0.35,155.4,171.58,0.37,162.47,172.31,0.31,159.35,175.68,0.24,156.42,173.49,0.21,160.3,177.4,0.2,150.93,176.02,0.16,162.11,171.47
179,168.62,170.24,0.36,155.85,171.3,0.37,162.78,172.16,0.33,159.13,175.61,0.26,156.25,173.18,0.23,160.13,177.47,0.21,151.07,175.92,0.16,162.42,171.24
180,168.61,170.05,0.35,155.84,171.21,0.38,162.76,171.98,0.33,159.06,175.56,0.26,156.19,173.03,0.23,160.17,177.49,0.21,151.17,175.84,0.16,162.4,171.08
181,168.4,169.83,0.33,155.89,171.14,0.38,162.69,171.89,0.33,158.92,175.55,0.27,156.05,172.86,0.23,160.1,177.55,0.21,151.34,175.72,0.16,162.33,170.95
182,168.32,169.56,0.32,155.75,171.15,0.37,162.73,171.54,0.31,159.19,175.52,0.24,156.19,172.83,0.21,160.58,177.59,0.19,151.47,175.69,0.15,162.27,170.75
183,168.2,169.17,0.3,155.72,171.16,0.38,162.46,171.17,0.31,159.46,175.35,0.26,156.5,172.7,0.22,161.61,176.0,0.21,151.61,175.6,0.16,162.12,170.5
184,168.4,168.82,0.28,155.99,171.13,0.38,162.65,170.97,0.31,159.81,175.26,0.28,156.84,172.45,0.23,161.93,175.98,0.22,151.88,175.54,0.16,162.34,170.3
185,168.47,168.72,0.26,156.22,171.2,0.37,162.67,170.8,0.3,160.2,175.14,0.29,157.31,172.25,0.24,162.04,175.74,0.25,152.06,175.54,0.17,162.45,170.24
186,168.58,168.78,0.25,156.35,171.03,0.35,163.1,171.01,0.3,160.12,175.0,0.28,157.4,171.9,0.23,161.74,175.88,0.25,152.12,175.3,0.18,162.68,170.27
187,168.0,168.81,0.17,156.1,171.47,0.25,164.57,171.71,0.2,162.19,174.4,0.22,158.59,172.35,0.18,162.79,175.33,0.2,152.12,175.31,0.18,162.89,170.67
188,168.06,168.64,0.16,156.4,171.56,0.25,165.05,171.87,0.22,161.34,175.11,0.22,158.23,172.61,0.19,162.9,175.8,0.19,152.5,175.17,0.17,163.17,170.69
189,167.6,168.33,0.22,159.49,170.22,0.31,163.16,171.21,0.28,160.88,175.69,0.28,157.23,173.05,0.23,162.43,176.14,0.23,152.23,175.69,0.18,163.42,169.92
190,169.73,167.21,0.29,160.54,169.31,0.32,166.42,172.6,0.34,158.54,176.21,0.3,157.01,169.4,0.28,160.6,179.65,0.21,151.96,176.6,0.17,165.57,169.71
191,170.57,167.17,0.34,161.36,168.88,0.32,167.01,172.55,0.39,158.1,175.51,0.24,157.61,167.76,0.25,161.2,178.88,0.16,151.07,176.41,0.18,166.31,169.53
192,174.08,166.1,0.12,166.34,163.61,0.1,167.51,172.56,0.16,155.53,171.22,0.04,159.28,164.62,0.12,153.87,177.37,0.05,150.46,174.44,0.17,169.31,167.42
193,173.95,170.81,0.35,164.66,165.91,0.32,165.23,174.03,0.3,142.63,111.59,0.07,157.0,155.74,0.14,144.38,168.11,0.03,150.69,172.25,0.08,167.95,170.25
194,175.36,170.41,0.53,165.46,164.63,0.44,165.42,174.15,0.42,143.4,149.3,0.11,150.16,149.67,0.14,139.78,150.99,0.08,137.85,112.33,0.07,168.75,169.73
195,173.59,171.66,0.29,165.2,164.82,0.22,159.02,171.87,0.21,145.33,151.09,0.09,151.55,151.97,0.11,115.38,127.86,0.06,159.8,170.58,0.04,165.94,169.45
196,174.44,170.38,0.45,164.52,164.89,0.34,164.96,175.14,0.32,147.15,154.88,0.08,152.69,146.41,0.14,143.21,167.88,0.08,167.03,170.89,0.04,167.98,170.13
197,171.9,168.13,0.29,164.52,168.07,0.19,166.97,174.13,0.26,152.6,169.87,0.04,153.72,151.06,0.05,146.63,172.4,0.05,160.28,172.41,0.05,167.8,170.11
198,171.33,168.29,0.11,163.08,163.7,0.07,168.87,173.71,0.11,130.89,28.73,0.02,136.36,28.87,0.04,103.21,127.57,0.06,195.83,70.27,0.07,167.76,168.57
199,175.1,170.02,0.06,165.89,164.21,0.05,169.53,175.01,0.06,96.56,132.26,0.03,106.28,146.93,0.04,103.37,127.82,0.09,195.53,70.5,0.06,170.17,169.74
200,176.28,172.36,0.06,166.68,163.95,0.04,170.04,176.08,0.07,238.45,25.17,0.04,136.08,29.97,0.04,103.46,127.52,0.06,229.37,16.05,0.04,171.0,170.8
201,177.7,173.31,0.17,167.93,167.3,0.09,169.42,176.66,0.09,238.62,25.21,0.04,153.77,147.16,0.05,105.95,128.28,0.1,164.14,172.73,0.04,171.68,172.42
202,179.12,173.55,0.29,168.8,167.57,0.16,169.09,177.14,0.14,146.13,139.76,0.05,155.28,138.41,0.13,108.85,128.57,0.12,162.92,172.23,0.05,172.34,172.75
203,182.12,174.24,0.45,171.28,167.43,0.2,170.5,177.68,0.2,146.49,154.25,0.07,153.56,132.47,0.12,111.15,127.93,0.14,163.61,171.97,0.05,174.63,173.12
204,180.66,173.19,0.03,106.63,148.35,0.06,171.58,175.46,0.06,238.8,25.23,0.08,150.41,129.61,0.08,111.87,127.62,0.19,176.74,172.09,0.03,152.96,165.67
205,148.03,133.62,0.09,107.41,148.83,0.06,170.96,168.19,0.04,238.8,25.24,0.09,232.93,125.8,0.06,110.97,127.95,0.13,146.43,122.11,0.04,142.13,150.22
206,156.87,135.9,0.62,151.18,131.76,0.31,151.55,137.35,0.33,144.58,124.62,0.08,130.44,134.86,0.13,157.9,149.79,0.05,152.86,163.95,0.12,153.2,135.0
207,164.79,171.6,0.27,165.52,163.82,0.21,158.63,164.54,0.23,166.4,142.05,0.04,169.11,142.12,0.07,147.24,163.78,0.05,230.74,13.95,0.03,162.98,166.65
208,165.07,170.94,0.17,167.71,163.71,0.12,158.72,163.24,0.12,168.64,139.89,0.05,171.32,140.28,0.07,245.04,187.54,0.02,161.12,166.91,0.03,163.83,165.96
209,148.99,19.75,0.06,216.84,130.75,0.02,221.51,185.1,0.01,26.9,234.17,0.02,220.25,140.02,0.03,228.73,198.29,0.04,212.14,184.14,0.03,195.78,111.87
210,216.21,115.62,0.03,149.78,13.59,0.04,144.87,12.55,0.03,222.19,138.81,0.04,219.79,139.35,0.08,236.0,200.31,0.03,211.57,183.78,0.04,170.29,47.26
211,143.46,101.95,0.04,216.34,130.42,0.02,156.63,111.6,0.02,234.87,123.27,0.04,151.73,85.06,0.05,229.38,199.05,0.04,212.03,184.02,0.03,172.14,114.66
212,142.76,127.4,0.06,216.84,130.09,0.02,153.62,136.48,0.03,223.25,139.7,0.07,219.84,139.91,0.08,229.25,198.99,0.04,212.25,181.35,0.03,171.07,131.32
213,144.95,130.73,0.04,226.73,120.4,0.02,153.0,134.6,0.04,223.08,140.05,0.06,219.9,140.27,0.08,228.64,138.87,0.03,212.16,181.5,0.03,174.9,128.58
214,225.2,19.25,0.03,214.05,121.82,0.02,151.2,130.69,0.03,223.52,139.96,0.07,220.29,140.75,0.1,133.39,140.83,0.04,134.75,102.78,0.07,196.82,90.59
215,142.06,55.23,0.09,139.1,62.35,0.07,143.98,59.77,0.08,223.12,140.36,0.03,220.92,141.23,0.04,228.97,199.96,0.03,212.17,184.72,0.03,141.71,59.12
216,135.23,45.33,0.3,132.37,54.39,0.18,140.43,53.63,0.2,237.78,25.05,0.06,220.9,141.05,0.05,235.41,39.1,0.04,229.53,16.86,0.04,136.01,51.12
217,131.48,41.76,0.12,130.75,50.42,0.06,137.15,46.29,0.04,238.34,25.17,0.08,220.87,141.45,0.06,244.04,25.79,0.04,229.42,17.12,0.07,133.13,46.16
218,224.27,22.66,0.01,129.49,72.28,0.03,229.77,17.23,0.02,238.64,25.15,0.08,129.65,77.25,0.06,243.85,19.4,0.04,229.53,16.8,0.11,194.51,37.39
219,224.46,22.2,0.02,130.09,71.5,0.03,229.78,16.8,0.02,238.82,25.3,0.06,129.45,76.83,0.09,240.91,20.76,0.04,229.03,16.93,0.09,194.78,36.84
220,118.14,42.13,0.03,105.9,154.78,0.03,128.96,48.87,0.02,133.13,72.26,0.06,128.07,73.48,0.16,243.82,19.3,0.03,228.17,17.28,0.08,117.66,81.93
221,120.61,40.31,0.04,105.73,154.68,0.03,159.95,132.17,0.01,238.69,25.18,0.04,232.42,24.56,0.03,236.01,38.23,0.03,228.1,17.27,0.09,128.76,109.05
222,116.64,47.36,0.14,116.57,60.91,0.03,125.75,51.66,0.06,238.43,24.96,0.03,232.31,24.39,0.02,236.23,38.45,0.03,120.17,48.46,0.1,119.65,53.31
223,225.69,18.52,0.04,228.38,10.95,0.02,232.27,14.71,0.02,238.83,25.22,0.04,236.11,24.76,0.03,240.72,16.54,0.03,228.48,16.88,0.09,228.78,14.73
224,122.16,61.93,0.04,124.2,79.14,0.03,128.75,67.65,0.02,238.7,25.13,0.03,237.34,7.65,0.02,229.02,200.01,0.03,227.94,17.44,0.09,125.04,69.58
225,122.13,65.63,0.06,123.84,79.56,0.05,128.72,67.6,0.03,238.75,25.1,0.04,236.12,24.52,0.03,229.1,200.02,0.03,227.97,17.47,0.09,124.9,70.93
226,225.48,18.99,0.04,121.15,78.92,0.03,128.0,68.0,0.02,238.97,25.22,0.05,232.62,24.75,0.04,243.83,19.33,0.03,227.86,17.69,0.09,158.21,55.3
227,117.3,61.3,0.13,120.7,79.01,0.08,127.19,67.21,0.06,238.93,25.15,0.05,232.68,24.68,0.03,229.23,199.96,0.03,227.95,17.59,0.08,121.73,69.17
228,120.15,61.23,0.14,118.68,71.13,0.11,128.0,69.37,0.12,238.9,25.08,0.05,232.67,24.58,0.03,229.3,200.08,0.03,121.29,60.34,0.09,122.28,67.24
229,118.12,60.98,0.18,119.07,72.19,0.11,128.55,70.6,0.14,238.83,24.96,0.05,232.57,24.49,0.03,229.17,200.23,0.03,120.72,60.85,0.11,121.92,67.93
230,118.37,61.25,0.21,119.14,72.64,0.12,128.35,70.77,0.16,238.87,24.93,0.05,232.6,24.68,0.03,244.25,25.82,0.03,120.31,61.38,0.14,121.96,68.22
231,117.85,61.35,0.3,117.82,71.66,0.23,127.48,69.01,0.3,126.18,85.66,0.05,123.88,95.39,0.03,128.71,90.57,0.04,119.5,62.07,0.12,121.05,67.34
232,117.11,62.98,0.28,117.39,73.11,0.19,126.73,70.64,0.28,125.45,89.64,0.05,122.42,91.77,0.04,129.14,91.53,0.04,119.37,63.79,0.1,120.41,68.91
233,115.37,64.5,0.43,115.24,73.62,0.33,125.09,72.09,0.48,123.88,89.39,0.16,119.28,92.06,0.08,129.54,91.54,0.14,228.43,16.7,0.06,118.57,70.07
234,117.67,71.71,0.21,117.73,81.79,0.08,125.47,77.0,0.08,239.33,25.17,0.08,232.7,25.29,0.05,244.52,25.64,0.04,117.94,72.29,0.21,120.29,76.83
235,119.96,76.35,0.18,118.0,87.48,0.15,125.61,83.25,0.08,239.1,25.02,0.07,126.6,118.89,0.05,244.36,25.71,0.04,119.9,76.45,0.09,121.19,82.36
236,121.43,75.32,0.08,230.23,20.53,0.03,123.38,88.66,0.03,239.38,25.13,0.08,232.48,25.02,0.05,244.47,25.72,0.04,228.79,16.76,0.05,158.35,61.5
237,120.7,96.04,0.1,120.69,85.2,0.09,118.57,88.77,0.14,239.29,25.06,0.07,129.09,76.97,0.06,244.4,25.72,0.04,228.79,16.51,0.05,119.99,90.0
238,119.32,96.68,0.16,122.57,87.26,0.12,118.48,89.98,0.17,239.27,25.18,0.07,128.4,75.05,0.09,113.96,70.43,0.04,228.22,17.34,0.04,120.12,91.31
239,120.02,95.86,0.11,123.39,87.52,0.1,121.91,90.84,0.14,239.26,25.25,0.07,232.52,25.21,0.05,244.47,25.84,0.04,228.1,17.49,0.04,121.77,91.41
240,143.62,10.83,0.03,230.18,20.48,0.03,229.7,16.86,0.01,239.42,25.16,0.08,232.64,25.3,0.05,244.58,25.69,0.04,125.46,105.49,0.04,201.17,16.06
241,79.01,14.52,0.05,83.03,12.59,0.08,79.24,11.81,0.08,239.3,25.08,0.06,232.6,24.93,0.04,244.47,25.78,0.04,127.55,108.47,0.1,80.43,12.98
242,139.21,32.12,0.05,78.93,15.07,0.04,77.72,15.5,0.05,239.48,25.09,0.06,236.19,24.85,0.04,236.36,38.38,0.04,228.76,16.79,0.05,98.62,20.9
243,125.81,97.96,0.13,126.88,117.68,0.07,76.99,18.5,0.07,239.53,24.96,0.07,232.74,24.79,0.04,244.46,25.71,0.04,228.62,16.79,0.07,109.89,78.05
244,138.47,10.8,0.1,136.96,16.52,0.09,76.7,27.37,0.07,239.57,25.03,0.06,236.08,25.03,0.04,236.24,38.44,0.04,228.46,16.84,0.09,117.38,18.23
245,138.77,10.67,0.18,136.08,21.13,0.11,74.93,29.18,0.08,239.37,25.05,0.06,140.06,33.04,0.04,236.31,38.66,0.04,228.67,16.73,0.07,116.59,20.33
246,73.89,34.11,0.09,77.73,25.75,0.11,74.75,33.02,0.12,239.54,25.14,0.06,236.15,25.07,0.04,236.33,38.62,0.04,228.59,16.85,0.07,75.46,30.96
247,73.26,33.38,0.1,76.38,27.52,0.08,72.14,25.99,0.09,239.54,25.34,0.06,107.84,133.09,0.05,236.5,38.43,0.04,130.89,104.59,0.09,73.93,28.96
248,72.68,32.8,0.07,75.22,31.31,0.05,71.19,26.39,0.08,239.55,25.56,0.06,108.55,133.48,0.06,236.55,38.38,0.04,131.75,104.97,0.13,73.03,30.17
249,72.51,32.91,0.06,145.46,155.13,0.05,70.98,29.9,0.07,239.57,25.56,0.06,108.07,133.63,0.07,236.56,38.4,0.04,131.6,104.72,0.12,96.32,72.65
250,72.44,33.73,0.06,74.63,32.2,0.06,70.85,30.44,0.09,239.66,25.62,0.06,108.22,133.9,0.07,236.56,38.63,0.04,132.52,105.32,0.11,72.64,32.12
251,72.83,34.23,0.07,75.2,32.42,0.06,71.01,30.65,0.1,239.67,25.63,0.06,107.93,133.89,0.07,236.58,38.62,0.04,132.47,105.31,0.11,73.01,32.43
252,73.06,35.27,0.07,75.43,33.09,0.08,70.84,31.03,0.11,239.68,25.63,0.07,108.12,133.8,0.07,236.59,38.55,0.04,132.92,106.44,0.1,73.11,33.13
253,73.28,36.17,0.08,75.89,33.76,0.09,70.85,31.13,0.12,239.63,25.66,0.06,108.14,133.79,0.06,236.6,38.47,0.04,133.17,106.66,0.1,73.34,33.69
254,73.1,34.88,0.09,76.53,34.27,0.11,72.27,34.61,0.14,239.57,25.66,0.06,108.72,133.31,0.06,236.59,38.47,0.04,132.83,106.1,0.1,73.97,34.59
255,73.2,35.48,0.1,76.91,34.96,0.13,72.32,35.19,0.16,239.6,25.65,0.06,108.69,133.19,0.06,236.6,38.46,0.04,132.47,105.74,0.1,74.15,35.21
256,73.46,35.88,0.1,77.98,36.53,0.14,72.56,35.47,0.17,239.52,25.64,0.06,110.05,132.69,0.06,236.64,38.5,0.04,132.13,106.23,0.11,74.67,35.96
257,132.75,162.2,0.17,78.3,36.67,0.15,72.87,35.47,0.18,143.28,138.48,0.07,145.62,137.92,0.07,236.69,38.7,0.04,131.56,108.0,0.2,94.64,78.11
258,136.05,155.01,0.14,78.22,36.71,0.17,72.56,35.41,0.19,143.16,139.11,0.06,144.85,138.46,0.06,236.69,38.64,0.04,131.85,107.97,0.18,95.61,75.71
259,73.92,39.12,0.12,78.06,36.88,0.2,72.12,35.58,0.22,79.4,24.13,0.08,80.95,24.87,0.06,236.65,38.58,0.04,131.43,106.14,0.15,74.7,37.19
260,135.31,155.15,0.13,78.17,36.85,0.21,72.0,35.69,0.22,79.41,24.07,0.08,113.44,131.65,0.07,236.66,38.66,0.03,130.84,106.88,0.16,95.16,75.9
261,73.26,38.95,0.12,77.86,36.4,0.21,71.59,34.96,0.21,79.22,23.58,0.07,111.84,132.9,0.08,236.59,38.65,0.03,131.81,107.63,0.15,74.23,36.77
262,134.14,154.39,0.16,76.68,35.26,0.14,72.21,35.01,0.16,143.19,140.6,0.07,111.78,132.09,0.07,236.58,38.63,0.04,131.33,106.13,0.09,94.34,74.89
263,137.25,166.28,0.22,76.47,35.31,0.13,134.71,158.19,0.21,141.08,140.0,0.05,111.85,136.37,0.07,236.71,38.86,0.04,130.74,107.61,0.18,116.14,119.92
264,136.74,169.94,0.27,77.18,36.6,0.17,131.23,159.06,0.21,135.97,126.67,0.07,113.35,136.64,0.09,236.77,39.05,0.03,129.65,106.81,0.08,115.05,121.87
265,134.86,170.87,0.3,136.77,162.34,0.25,129.52,159.57,0.29,134.29,127.81,0.08,117.01,130.71,0.09,71.97,22.8,0.03,128.79,109.03,0.15,133.72,164.26
266,133.49,170.04,0.25,135.9,161.58,0.21,128.63,158.92,0.27,79.96,25.2,0.1,117.73,130.83,0.09,75.87,19.35,0.05,127.89,111.03,0.2,132.67,163.51
267,133.59,170.32,0.22,77.68,36.95,0.2,128.97,159.43,0.24,80.18,25.46,0.09,117.15,130.99,0.08,72.23,22.9,0.05,128.0,111.26,0.18,113.42,122.23
268,133.86,170.47,0.2,77.78,36.14,0.18,129.11,159.7,0.2,80.13,25.53,0.07,113.61,135.99,0.09,72.24,23.35,0.04,128.28,111.22,0.15,113.58,122.1
269,135.8,167.59,0.15,77.87,34.5,0.11,129.68,159.73,0.12,79.99,25.95,0.06,111.96,136.32,0.1,72.27,24.49,0.04,128.21,110.01,0.14,114.45,120.61
270,134.31,170.39,0.25,134.97,161.9,0.16,127.85,162.07,0.2,109.68,148.76,0.05,112.14,135.39,0.12,236.64,39.1,0.03,117.46,110.36,0.07,132.38,164.79
271,133.46,167.83,0.31,133.33,161.05,0.2,123.04,162.43,0.25,109.43,148.61,0.06,113.55,129.72,0.13,236.5,39.08,0.03,116.07,109.58,0.06,129.94,163.77
272,118.4,132.04,0.34,116.37,139.44,0.1,123.85,136.34,0.13,239.41,24.93,0.06,232.81,24.67,0.04,236.65,38.54,0.04,228.61,16.55,0.08,119.54,135.94
273,137.91,11.05,0.1,136.45,16.45,0.08,76.13,27.54,0.06,239.38,25.09,0.06,108.15,139.8,0.04,110.09,129.52,0.05,228.57,16.67,0.09,116.83,18.35
274,132.04,19.01,0.03,83.97,15.26,0.03,78.39,14.53,0.03,239.33,25.14,0.07,232.64,24.89,0.05,244.45,25.78,0.04,228.73,16.65,0.04,98.13,16.26
275,130.97,18.03,0.03,122.38,91.07,0.03,123.13,91.85,0.04,239.23,25.13,0.06,232.68,24.93,0.04,244.42,25.8,0.03,228.74,16.39,0.04,125.49,66.98
276,121.29,84.76,0.09,120.27,86.24,0.03,116.25,91.82,0.08,239.28,25.22,0.06,119.7,80.85,0.04,244.44,25.83,0.03,118.78,78.87,0.07,119.27,87.61
277,120.64,84.92,0.12,118.17,92.5,0.03,116.29,91.49,0.09,239.25,25.19,0.06,119.41,81.64,0.05,244.4,25.83,0.03,118.07,78.75,0.09,118.37,89.64
278,119.81,85.56,0.17,123.59,111.14,0.03,116.79,91.37,0.07,239.23,25.19,0.05,119.69,83.85,0.05,237.29,38.84,0.03,117.41,79.88,0.13,120.06,96.02
279,120.11,85.25,0.17,123.73,110.82,0.03,116.6,91.14,0.09,239.21,25.18,0.05,118.98,82.67,0.06,237.24,38.92,0.03,117.13,79.43,0.1,120.15,95.74
280,121.22,85.96,0.11,118.22,92.07,0.05,115.57,91.48,0.12,239.31,25.18,0.06,117.11,78.78,0.05,237.22,39.02,0.03,228.8,16.16,0.03,118.34,89.84
